player_name,season_label,grade_label,games_played,batting_innings,batting_not_outs,batting_runs,batting_balls,batting_fours,batting_sixes,batting_high_score,bowling_overs,bowling_maidens,bowling_runs,bowling_wickets,bowling_wides,bowling_no_balls,bowling_best_figures
A King,Summer 2018/19,VCV,1,1,1,8,17,,,8*,,,,,,,
Arthur McPhan,Summer 2019/20,VCV,1,1,,6,12,,,6,4,1,15,1,1,,1-15
Colin Baulch,Summer 2020/21,VCV,,1,1,37,62,6,,37*,4,,30,1,,,1-30
Colin Murdoch,Summer 2024/25,Border Cup,,,,,,,,,10,,45,3,1,,1-8
Colin Murdoch,Summer 2024/25,Echuca Carnival,4,4,2,78,112,4,,29,,,,,,,
Costello John,Summer 2011/12,One Off Games,2,,,,,,,,,,,,,,
D Backwell,Summer 2016/17,VCV,1,1,1,1,22,,,1*,,,,,,,
Daryl Hunt,Summer 2019/20,VCV,3,3,3,59,58,7,,25*,21,4,53,2,,1,1-7
Daryl Hunt,Summer 2019/20,WillowFest,2,1,,5,15,,,5,14,3,35,1,,,1-24
David Currie,Summer 2022/23,Border Cup,1,1,,17,19,3,,17,,,,,,,
David Foster,Summer 2024/25,Border Cup,3,2,1,16,32,3,,16,2,,7,,,,0-7
David Jefferson,Summer 2020/21,VCV,1,1,,,2,,,0,4,,18,,,1,0-18
David Jefferson,Summer 2022/23,VCV,1,1,,,2,,,0,4,,23,,,,0-23
David Jefferson,Summer 2023/24,VCV,1,1,,2,7,,,2,5,,21,1,3,,
Frank Debono,Summer 2019/20,WillowFest,4,4,2,48,70,2,,24,7,,26,,,,0-2
Gary Ashby,Summer 2012/13,One Off Games,1,,,,,,,,,,,,,,
Gary Ashby,Summer 2016/17,VCV,1,1,1,33,40,2,1,33,,,,,,,
Gary Ashby,Summer 2019/20,VCV,1,1,,1,6,,,1,,,,,,,
Graeme Freshwater,Summer 2019/20,WillowFest,,4,2,18,49,1,,10,17,,60,1,,,1-7
Graham Lewis,Summer 2023/24,VCV,1,1,1,3,8,,,3*,2,,15,,,,
Grant Humphries,Summer 2024/25,One Off Games,1,1,1,11,25,,,11*,,,,,,,
Greg Lott,Summer 2022/23,VCV,1,1,1,39,50,6,,39*,5,,22,1,,,1-22
Greg Muhovics,Summer 2024/25,VCV,1,1,1,22,25,5,,22*,1,,22,,,,0-22
Guy Eastwood,Summer 2022/23,VCV,1,1,,10,13,2,,10,4,,30,1,1,,1-30
Guy Eastwood,Summer 2024/25,Border Cup,2,,,,,,,,4,2,15,,,,0-15
J Catzalis,Summer 2016/17,Border Cup,1,1,1,5,2,1,,5*,,,,,,,
John Caulfield,Summer 2016/17,VCV,1,1,1,11,25,,,11*,1,,4,,1,,0-4
John Caulfield,Summer 2020/21,VCV,1,1,,6,12,1,,6,4,,20,,,,0-20
John Caulfield,Summer 2022/23,VCV,1,,,,,,,,,,,,,,
John Caulfield,Summer 2023/24,VCV,,1,,,1,,,0,2,,27,,,,0-27
John Penhall,Summer 2021/22,VCV,1,1,,4,12,,,4,2,,6,1,,,1-6
John Porteous,Summer 2024/25,VCV,1,1,1,5,20,,,5*,,,,,,,
John Williams,Summer 2023/24,VCV,2,2,1,24,46,1,,16,3,,14,1,,,
Kevin Smith,Summer 2024/25,One Off Games,1,1,,2,10,,,2,4,,11,1,,1,1-11
P Robinson,Summer 2018/19,VCV,1,1,,12,9,1,,12,,,,,,,
Peter Franklin,Summer 2015/16,Border Cup,1,,,,,,,,,,,,,,
Peter Franklin,Summer 2015/16,WillowFest,1,,,,,,,,,,,,,,
Peter Franklin,Summer 2016/17,VCV,4,3,1,76,71,11,1,34,18,,85,4,,2,3-32
Peter Franklin,Summer 2016/17,Peter Phyland Trophy,1,1,1,17,28,2,,17*,,,,,,,
Peter Franklin,Summer 2016/17,Border Cup,3,3,2,50,65,5,,29,17,,67,4,2,,2-26
Peter Franklin,Summer 2016/17,WillowFest,3,3,2,67,70,7,,30,14,,57,3,1,,2-14
Peter Franklin,Summer 2017/18,WillowFest,1,,,,,,,,,,,,,,
Peter LeLievre,Summer 2019/20,VCV,4,4,4,125,115,16,,43*,4,,26,,,,0-13
Peter LeLievre,Summer 2019/20,Border Cup,1,1,,7,10,1,,7,,,,,,,
Peter LeLievre,Summer 2019/20,WillowFest,4,4,2,92,104,11,,24,6,4,4,2,,,2-2
Peter LeLievre,Summer 2020/21,Border Cup,1,1,1,16,25,,,16*,,,,,,,
Peter LeLievre,Summer 2021/22,Border Cup,3,3,1,46,84,4,,18,,,,,,,
Peter LeLievre,Summer 2022/23,VCV,1,1,1,37,40,4,1,37*,,,,,,,
Peter LeLievre,Summer 2022/23,Border Cup,3,3,2,100,84,15,1,43,,,,,,,
Peter LeLievre,Summer 2023/24,Border Cup,3,3,2,61,64,11,,28,,,,,,,
Peter Willoughby,Summer 2024/25,VCV,1,,,,,,,,2,,21,,,,0-21
Peter Willoughby,Summer 2024/25,Border Cup,1,,,,,,,,3,,14,,,,0-14
Phil Dickson,Summer 2020/21,VCV,,1,1,1,3,,,1*,3,,20,,,1,0-20
Phil Hickleton,Summer 2022/23,VCV,1,1,,15,21,2,,15,8,2,25,,,,0-25
Phil Hickleton,Summer 2023/24,Border Cup,3,3,2,27,42,2,,14,14,4,32,2,,,
R Lee,Summer 2016/17,VCV,1,1,,6,5,1,,6*,3,1,7,,,,0-7
Robin Rogers,Summer 2024/25,Border Cup,1,1,,,5,,,0,,,,,,,
Ron Jennings,Summer 2023/24,VCV,1,1,,27,24,6,,27,4,1,7,1,,,1-7
S Attrill,Summer 2019/20,WillowFest,1,1,1,,8,,,0,,,,,,,
Shane Noonan,Summer 2022/23,Border Cup,1,1,,1,17,81,3,17,3,,16,1,6,,1-16
Stephen Bell,Summer 2013/14,VCV,1,,,,,,,,,,,,,,
Stephen Bell,Summer 2013/14,One Off Games,1,,,,,,,,,,,,,,
Stephen Bell,Summer 2019/20,VCV,2,2,1,44,51,7,,40,,,,,,,
Stephen Bell,Summer 2024/25,One Off Games,1,,,,,,,,,,,,,,
Steve Sambrook,Summer 2023/24,VCV,1,1,,1,6,,,1,,,,,,,
Steve Sambrook,Summer 2024/25,One Off Games,,1,1,13,25,1,,13*,,,,,,,
Terry Flynn,Summer 2024/25,VCV,1,1,1,12,22,1,,12*,3,,28,,1,,0-28
Terry Pullen,Summer 2022/23,VCV,1,1,,1,,,,0,4,,20,,1,,0-20
Terry Willoughby,Summer 2024/25,VCV,,1,,1,11,,,1,,,,,,,
Terry Willoughby,Summer 2024/25,Border Cup,,1,,,2,,,0,,,,,,,
Tom Gorman,Summer 2022/23,VCV,1,1,,,2,,,0,,,,,,,
Tom Gorman,Summer 2024/25,Border Cup,,2,,1,6,,,1,,,,,,,
Tony Legoe,Summer 2024/25,Border Cup,,,,,,,,,19,2,68,1,1,,1-12
Tony Legoe,Summer 2024/25,Echuca Carnival,4,3,,16,38,1,,12,,,,,,,
W Gason,Summer 2024/25,Peter Phyland Trophy,1,1,,1,1,,,1,2,,19,,2,,
W Legoe,Summer 2024/25,One Off Games,1,1,1,23,23,4,,23*,1,,3,,,,0-3
Wayne Hinchcliffe,Summer 2022/23,VCV,1,1,1,13,30,1,,13*,8,2,25,2,,,2-25
Wayne Hinchcliffe,Summer 2022/23,Border Cup,3,3,,11,25,,,10,21,3,93,3,6,,2-28
Wayne Hinchcliffe,Summer 2023/24,Border Cup,3,2,,21,27,2,,16,18.2,6,42,5,,,
Wayne Hinchcliffe,Summer 2024/25,Border Cup,3,3,1,35,52,3,,17,20,1,80,6,,,2-12
